"record_id","survey_id","species_id","species_code","record","presence_absence"
10406.00,1005.00,1074.00,"Dasy_lepo",,0.00
10407.00,1005.00,1075.00,"Dasy_sp.",,0.00
10408.00,1005.00,1076.00,"Trin_dimi",,0.00
10409.00,1005.00,1077.00,"Trin_iher",,0.00
10410.00,1005.00,1078.00,"Chae_subs",,0.00
10411.00,1005.00,1079.00,"Coen_preh",,0.00
10412.00,1005.00,1080.00,"Sphi_insi",,0.00
10413.00,1005.00,1081.00,"Sphi_vill",,0.00
10414.00,1005.00,1082.00,"Myoc_coyp",,0.00
10415.00,1005.00,1083.00,"Sciu_aest",,0.00
10416.00,1006.00,1001.00,"Bos_taur",,0.00
10417.00,1006.00,1002.00,"Maza_amer",,0.00
10418.00,1006.00,1003.00,"Maza_goua",,0.00
10419.00,1006.00,1004.00,"Maza_nana",,0.00
10420.00,1006.00,1005.00,"Maza_sp.",,0.00
10421.00,1006.00,1006.00,"Sus_scro",,0.00
10422.00,1006.00,1007.00,"Peca_taja",,1.00
10423.00,1006.00,1008.00,"Taya_peca",,0.00
10424.00,1006.00,1009.00,"Cani_fami",,1.00
10425.00,1006.00,1010.00,"Cerd_thou",,0.00
10426.00,1006.00,1011.00,"Chry_brac",,0.00
10427.00,1006.00,1012.00,"Lyca_gymn",,0.00
10428.00,1006.00,1013.00,"Speo_vena",,0.00
10429.00,1006.00,1014.00,"Feli_catu",,0.00
10430.00,1006.00,1015.00,"Leop_pard",,1.00
10431.00,1006.00,1016.00,"Leop_gutt",,0.00
10432.00,1006.00,1017.00,"Leop_wied",,1.00
10433.00,1006.00,1018.00,"Leop_sp.",,0.00
10434.00,1006.00,1019.00,"Pant_onca",,0.00
10435.00,1006.00,1020.00,"Puma_conc",,1.00
10436.00,1006.00,1021.00,"Puma_yago",,0.00
10437.00,1006.00,1022.00,"Cone_chin",,0.00
10438.00,1006.00,1023.00,"Cone_semi",,0.00
10439.00,1006.00,1024.00,"Eira_barb",,1.00
10440.00,1006.00,1025.00,"Gali_cuja",,0.00
10441.00,1006.00,1026.00,"Lont_long",,0.00
10442.00,1006.00,1027.00,"Nasu_nasu",,1.00
10443.00,1006.00,1028.00,"Potu_flav",,0.00
10444.00,1006.00,1029.00,"Proc_canc",,1.00
10445.00,1006.00,1030.00,"Stur_lili",,0.00
10446.00,1006.00,1031.00,"Caba_tato",,0.00
10447.00,1006.00,1032.00,"Caba_unic",,0.00
10448.00,1006.00,1033.00,"Caba_sp.",,0.00
10449.00,1006.00,1034.00,"Dasy_nove",,0.00
10450.00,1006.00,1035.00,"Dasy_sept",,0.00
10451.00,1006.00,1036.00,"Dasy_sp.",,0.00
10452.00,1006.00,1037.00,"Euph_sexc",,0.00
10453.00,1006.00,1038.00,"Prio_maxi",,0.00
10454.00,1006.00,1039.00,"Dide_albi",,0.00
10455.00,1006.00,1040.00,"Dide_auri",,0.00
10456.00,1006.00,1041.00,"Dide_sp.",,0.00
10457.00,1006.00,1042.00,"Grac_agil",,0.00
10458.00,1006.00,1043.00,"Grac_micr",,0.00
10459.00,1006.00,1044.00,"Marm_muri",,0.00
10460.00,1006.00,1045.00,"Marm_inca",,0.00
10461.00,1006.00,1046.00,"Marm_sp.",,0.00
10462.00,1006.00,1047.00,"Meta_nudi",,0.00
10463.00,1006.00,1048.00,"Mono_scal",,0.00
10464.00,1006.00,1049.00,"Phil_fren",,0.00
10465.00,1006.00,1050.00,"Phil_opos",,0.00
10466.00,1006.00,1051.00,"Lepu_euro",,0.00
10467.00,1006.00,1052.00,"Sylv_bras",,1.00
10468.00,1006.00,1053.00,"Tapi_terr",,0.00
10469.00,1006.00,1054.00,"Brad_torq",,0.00
10470.00,1006.00,1055.00,"Myrm_trid",,0.00
10471.00,1006.00,1056.00,"Tama_tetr",,0.00
10472.00,1006.00,1057.00,"Alou_cara",,0.00
10473.00,1006.00,1058.00,"Alou_guar",,0.00
10474.00,1006.00,1059.00,"Brac_hypo",,0.00
10475.00,1006.00,1060.00,"Call_geof",,0.00
10476.00,1006.00,1061.00,"Call_kuhl",,0.00
10477.00,1006.00,1062.00,"Call_peni",,0.00
10478.00,1006.00,1063.00,"Leon_chry",,0.00
10479.00,1006.00,1064.00,"Sapa_nigr",,0.00
10480.00,1006.00,1065.00,"Sapa_xant",,0.00
10481.00,1006.00,1066.00,"Call_mela",,0.00
10482.00,1006.00,1067.00,"Cavi_sp.",,0.00
