,ID_codref,Bib_Ref,Country,State,Municipality,Site,Latitude_y,Longitude_x,Category_coord,Year_start,Year_finish,Habitat,Method,Number_nets,Net_size,RN_total_effort,Number_point_counts,Point_count_temporal_replicates,PE_total_effort,Olsoneconame,OlsonG200r,Ribeirovegtype,BSRs,Altitude,Annual_rainfall,Annual_temperature
2982,paula41,NA,Brazil,MG,JANU√ÅRIA,Margem do Rio S„o Francisco,-15.416666,-44.433333,PTCENTRAL,1977,1978,Not informed,INV,,NA,NA,NA,NA,NA,Atlantic dry forests,Atlantic Dry Forests,Floresta Estacional Semidecidual,S√£o Francisco,582,167,24.4
2983,paula42,NA,Brazil,MG,PEDRAS DE MARIA DA CRUZ,6 km ao sul de Janu·ria,-15.55,-44.35,MOS,1977,1978,Not informed,INV,,NA,NA,NA,NA,NA,Atlantic dry forests,Atlantic Dry Forests,Areas de Tensao Ecologica,S√£o Francisco,501,149,25.3
2984,r19,NA,Brazil,SP,RIO CLARO,Fazenda S„o JosÈ ,-22.35,-47.483333,PTCENTRAL,1982,1986,Not informed,INV,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,612,251,22.6
2985,r20,NA,Brazil,SP,ARARAS,Fazenda S„o JosÈ ,-22.366666,-47.466666,MOS,1982,1986,Not informed,INV,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,615,252,22.5
2986,r21,NA,Brazil,SP,RIO CLARO,Fazenda S„o JosÈ ,-22.35,-47.483333,PTCENTRAL,1987,1992,Not informed,INV,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,612,251,22.6
2987,r22,NA,Brazil,SP,ARARAS,Fazenda S„o JosÈ ,-22.366666,-47.466666,MOS,1987,1992,Not informed,INV,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,615,252,22.5
2988,r227,NA,Brazil,SP,MORRO AGUDO,Mata Chita,-20.65,-48.066666,PTCENTRAL,1984,1984,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Areas de Tensao Ecologica,Florestas de Interior,610,293,23.7
2989,r228,NA,Brazil,SP,SAO PAULO,Parque EcolÛgico do TietÍ,-23.483333,-46.516666,MOS,1987,1987,Not informed,OO,,NA,NA,NA,NA,NA,Serra do Mar coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Serra do Mar,649,234,21.5
2990,r229,NA,Brazil,SP,SALES OLIVEIRA,Mata Tabo„o,-20.766666,-47.8,PTCENTRAL,1984,1984,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Areas de Tensao Ecologica,Florestas de Interior,647,288,22.4
2991,r23,NA,Brazil,SP,RIO CLARO,Fazenda S„o JosÈ ,-22.35,-47.483333,PTCENTRAL,1987,1992,Not informed,INV,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,612,251,22.6
2992,r230,NA,Brazil,SP,PAULO DE FARIA,EstaÁ„o EcolÛgica Paulo de Faria,-19.933333,-49.533333,PTCENTRAL,1987,1987,Not informed,OO,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,439,243,25.3
2993,r231,NA,Brazil,SP,ILHA COMPRIDA,Ilha Comprida,-24.683333,-47.433333,PTCENTRAL,1986,1986,Not informed,OO,,NA,NA,NA,NA,NA,Southern Atlantic mangroves,NA,NA,NA,1,249,25.4
2994,r232,NA,Brazil,SP,PRESIDENTE EPIT√ÅCIO,Lagoa S„o Paulo,-21.666666,-52.033333,PTCENTRAL,1987,1987,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Floresta Estacional Semidecidual,Florestas de Interior,279,172,26.1
2995,r233,NA,Brazil,SP,ILHA COMPRIDA,0,-24.683333,-47.433333,PTCENTRAL,1983,1983,Not informed,OO,,NA,NA,NA,NA,NA,Southern Atlantic mangroves,NA,NA,NA,1,249,25.4
2996,r234,NA,Brazil,SP,ILHA COMPRIDA,0,-24.683333,-47.433333,PTCENTRAL,1990,1990,Not informed,OO,,NA,NA,NA,NA,NA,Southern Atlantic mangroves,NA,NA,NA,1,249,25.4
2997,r235,NA,Brazil,SP,ARAMINA,0,-20.216666,-47.833333,PTCENTRAL,1990,1990,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Areas de Tensao Ecologica,Florestas de Interior,589,293,24.3
2998,r236,NA,Brazil,SP,BURITIZAL,0,-20.233333,-47.7,PTCENTRAL,1990,1990,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Areas de Tensao Ecologica,Florestas de Interior,673,298,22.4
2999,r237,NA,Brazil,SP,ITUVERAVA,0,-20.183333,-47.883333,PTCENTRAL,1990,1990,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Areas de Tensao Ecologica,Florestas de Interior,573,286,24.7
3000,r238,NA,Brazil,SP,ALTINOPOLIS,Fazenda Ribeir„o do Cervo,-21.133333,-47.35,MOS,1984,1984,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Savana,Florestas de Interior,663,268,23.3
3001,r239,NA,Brazil,SP,PEDREGULHO,MunicÌpio de Pedregulho,-20.25,-47.45,MUN,1984,1984,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Savana,Florestas de Interior,1028,286,21.1
3002,r24,NA,Brazil,SP,ARARAS,Fazenda S„o JosÈ ,-22.366666,-47.466666,MOS,1987,1992,Not informed,INV,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,615,252,22.5
3003,r240,NA,Brazil,SP,RIFAINA,MunicÌpio de Rifaina,-20.1,-47.4,MUN,1984,1984,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Areas de Tensao Ecologica,Florestas de Interior,606,289,23.9
3004,r241,NA,Brazil,SP,BATATAIS,PraÁa Central,-20.85,-47.583333,PTCENTRAL,1983,1983,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Savana,Florestas de Interior,753,283,22.2
3005,r242,NA,Brazil,SP,CAMPINAS,Bar„o Geraldo,-22.833333,-47.083333,MOS,1983,1983,Not informed,OO,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Areas de Tensao Ecologica,Florestas de Interior,621,232,22.4
3006,r243,NA,Brazil,SP,CAMPINAS,Bar„o Geraldo,-22.833333,-47.083333,MOS,1983,1983,Not informed,OO,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Areas de Tensao Ecologica,Florestas de Interior,621,232,22.4
3007,r244,NA,Brazil,SP,SALES OLIVEIRA,0,-20.766666,-47.8,PTCENTRAL,1984,1984,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Areas de Tensao Ecologica,Florestas de Interior,647,288,22.4
3008,r245,NA,Brazil,SP,PEDREGULHO,0,-20.25,-47.45,PTCENTRAL,1984,1984,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Savana,Florestas de Interior,1028,286,21.1
