"ID","Country","State","Municipality","Study_location","Latitude","Longitude","Precision","Reserve_Area","Altitude","Altitude1km","Annual_mean_temperature","Annual_rainfall","Olsong200r","Olsoneconame","ribeirovegtype","BSRs","uc","protectedtype"
"bat1098","Brazil","MINAS GERAIS","SIMONESIA","Feliciano Miguel Abdala","-19.83223000000","-41.83013600000","Not-Precise",886,NA,558,"21.8",1198,"Atlantic Forests","Bahia interior forests","Semideciduous Forest","Interior Forests","Y",NA
"bat1099","Brazil","MINAS GERAIS","SIMONESIA","RPPN Feliciano Miguel Abdala","-19.83223000000","-41.83013600000","Not-Precise",886,NA,558,"21.8",1198,"Atlantic Forests","Bahia interior forests","Semideciduous Forest","Interior Forests","Y","Private Reserve"
"bat1100","Brazil","SAO PAULO","SAO CARLOS","UFSCar Pinus forest","-21.98408700000","-47.87956900000","Precise",4,NA,838,"19.6",1444,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests",NA,NA
"bat1101","Brazil","SAO PAULO","SAO CARLOS","UFSCar Riparian Forest Y","-21.97132400000","-47.86759200000","Precise",90,NA,868,"19.5",1443,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests",NA,NA
"bat1102","Brazil","SAO PAULO","SANTA RITA DO PASSA QUATRO","Vassununga State Park Mogi river","-21.73941900000","-47.60352500000","Precise",NA,"665",547,"21.4",1361,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y","Park"
"bat1103","Brazil","SAO PAULO","SANTA RITA DO PASSA QUATRO","Vassununga State Park Pedregulho trail","-21.71775700000","-47.61695100000","Precise",331.24,"665",563,"21.4",1372,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y","Park"
"bat1104","Brazil","SAO PAULO","SANTA RITA DO PASSA QUATRO","Vassununga State Park Jequitibas trail","-21.72975400000","-47.59121500000","Precise",331.24,"665",588,"21.2",1380,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y","Park"
"bat1105","Brazil","SAO PAULO","SANTA RITA DO PASSA QUATRO","Vassununga State Park  West Capetinga","-21.72062500000","-47.59589200000","Precise",331.24,"665",600,"21.2",1386,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y","Park"
"bat1106","Brazil","SAO PAULO","SANTA RITA DO PASSA QUATRO","Vassununga State Park East Capetinga","-21.72632300000","-47.58485400000","Precise",231.06,"665",539,"21.5",1360,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y","Park"
"bat1107","Brazil","SAO PAULO","SANTA RITA DO PASSA QUATRO","Vassununga State Park Back Gate","-21.72021800000","-47.59769200000","Precise",331.24,"665",600,"21.2",1386,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y","Park"
"bat1108","Brazil","RIO GRANDE DO SUL","SANTA MARIA","Morro do Elefante","-29.68150100000","-53.77122600000","Not-Precise",NA,"262 to 462",352,"18.4",1701,"Atlantic Forests","Alto Parana Atlantic forests","Deciduous Forest","Florestas de Araucaria","Y",NA
"bat1109","Brazil","SAO PAULO","RIO CLARO","State Forest Edmundo Navarro de Andrade ","-22.40672900000","-47.52138600000","Precise",2230,"650",639,"20.1",1306,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y","Park"
"bat1110","Brazil","RIO DE JANEIRO","RIO DE JANEIRO","Alto da Boa Vista","-22.97271300000","-43.28415400000","Precise",24,NA,369,"21.1",1549,"Atlantic Forests","Serra do Mar coastal forests",NA,"Serra do Mar",NA,NA
"bat1111","Brazil","SAO PAULO","SAO CARLOS","Canchim","-21.96365600000","-47.84608900000","Precise",15,NA,860,"19.5",1442,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests",NA,NA
"bat1112","Brazil","MINAS GERAIS","SANTANA DO RIACHO","Chapeu do Sol Cipo","-19.30089400000","-43.60111000000","Precise",NA,NA,1030,"19.5",1541,"Cerrado Woodlands and Savannas","Cerrado",NA,"Interior Forests",NA,NA
"bat1113","Brazil","MINAS GERAIS","BELO HORIZONTE","EECO UFMG","-19.87646900000","-43.97232600000","Precise",NA,NA,841,"20.9",1411,"Atlantic Forests","Bahia interior forests","Semideciduous Forest","Interior Forests",NA,NA
"bat1114","Brazil","MINAS GERAIS","CONTAGEM","Guapimirim","-19.90493500000","-44.04318400000","Precise",NA,NA,863,"20.9",1408,"Atlantic Forests","Bahia interior forests","Semideciduous Forest","Interior Forests","N",NA
"bat1115","Brazil","RIO DE JANEIRO","PETROPOLIS","Itaipava","-22.38382800000","-43.14680600000","Precise",NA,NA,787,"19.1",1767,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","N",NA
"bat1116","Brazil","RIO DE JANEIRO","PARATY","Mambucaba","-23.01811100000","-44.54906600000","Precise",NA,NA,5,"23.3",1939,NA,"Southern Atlantic mangroves",NA,"Serra do Mar","N",NA
"bat1117","Brazil","MINAS GERAIS","BELO HORIZONTE","MNJB UFMG","-19.89339800000","-43.91636700000","Precise",NA,NA,854,"20.6",1426,"Atlantic Forests","Bahia interior forests","Semideciduous Forest","Interior Forests","Y",NA
"bat1118","Brazil","RIO DE JANEIRO","NOVA FRIBURGO","Mury","-22.32893400000","-42.48888000000","Precise",NA,NA,1138,"17.1",1479,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","N",NA
"bat1119","Brazil","RIO DE JANEIRO","RIO DE JANEIRO","Pao de Acucar","-22.95225000000","-43.15853200000","Precise",NA,NA,69,"23.4",1274,"Atlantic Forests","Serra do Mar coastal forests",NA,"Serra do Mar","Y","Natural Monument"
"bat1120","Brazil","SAO PAULO","CANANEIA","PE Ilha do Cardoso","-25.09583800000","-47.92974300000","Precise",NA,NA,23,"22.5",2490,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y","Park"
"bat1121","Brazil","SAO PAULO","IPORANGA","PE Intervales","-24.27236600000","-48.41609700000","Precise",NA,NA,828,"17.8",1386,"Atlantic Forests","Alto Parana Atlantic forests",NA,"Interior Forests","Y","Park"
"bat1122","Brazil","MINAS GERAIS","MARLIERIA","PE Rio Doce","-19.76414100000","-42.63106000000","Precise",NA,NA,337,"23.1",1156,"Atlantic Forests","Bahia interior forests","Semideciduous Forest","Interior Forests","Y","Park"
"bat1123","Brazil","SAO PAULO","UBATUBA","PE Serra do Mar Picinguaba","-23.35647500000","-44.86363300000","Precise",NA,NA,7,"23.2",2449,"Atlantic Forests","Serra do Mar coastal forests",NA,"Serra do Mar","Y","Park"
"bat1124","Brazil","RIO DE JANEIRO","CARAPEBUS","PN Restinga de Jurubatiba","-22.23014800000","-41.58455900000","Precise",NA,NA,10,"23",1097,"Atlantic Forests","Atlantic Coast restingas",NA,"Interior Forests","Y","Park"
"bat1125","Brazil","MINAS GERAIS","JABOTICATUBAS","PN Serra do Cipo","-19.35355500000","-43.60734600000","Precise",NA,NA,817,"20.7",1495,"Cerrado Woodlands and Savannas","Cerrado",NA,"Interior Forests","Y","Park"
"bat1126","Brazil","RIO DE JANEIRO","SILVA JARDIM","RB Poco das Antas","-22.58381800000","-42.26197100000","Precise",6100,"35",9,"23.2",1076,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y","Biological Reserve"
"bat1127","Brazil","RIO DE JANEIRO","RIO DAS OSTRAS","RB Uniao","-22.42165300000","-42.03627100000","Precise",24,"30",65,"22.8",1138,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y","Biological Reserve"
"bat1128","Brazil","RIO DE JANEIRO","RIO BONITO","Rio Vermelho","-22.73306000000","-42.57057500000","Precise",15,"372",91,"22.7",1181,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","N",NA
"bat1129","Brazil","SAO PAULO","SAO CARLOS","UFSCar","-21.97189500000","-47.86754300000","Precise",NA,NA,868,"19.5",1443,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests","N",NA
"bat1130","Brazil","RIO DE JANEIRO","MARICA","Area de Protecao Ambiental de Marica","-22.95861100000","-42.89407700000","Not-Precise",970,NA,12,"23.3",1198,"Atlantic Forests","Serra do Mar coastal forests",NA,"Serra do Mar","Y",NA
"bat1131","Brazil","SANTA CATARINA","FLORIANOPOLIS","Ilha de Ratones Grande","-27.47631500000","-48.56278000000","Not-Precise",19,"34",NA,NA,NA,NA,NA,NA,"Serra do Mar","N",NA
"bat1132","Brazil","SANTA CATARINA",NA,"P4 Parque Eolico do Horizonte e Parque Eolico de Agua Doce","-26.58222200000","-51.71222200000","Precise",NA,NA,1250,"14.9",1888,"Atlantic Forests","Araucaria moist forests","Savana","Florestas de Araucaria","N",NA
"bat1133","Brazil","SANTA CATARINA",NA,"P5 Parque Eolico do Horizonte e Parque Eolico de Agua Doce","-26.58888900000","-51.69611100000","Precise",NA,NA,1257,"14.9",1885,"Atlantic Forests","Araucaria moist forests","Savana","Florestas de Araucaria","N",NA
"bat1134","Brazil","SANTA CATARINA","INDAIAL","Parque Nacional da Serra do Itajai","-27.10962600000","-49.18535800000","Not-Precise",57374,NA,739,"16.8",1649,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y","Park"
"bat1135","Brazil","SANTA CATARINA","BLUMENAU","Parque Natural Municipal São Francisco de Assis","-26.92169300000","-49.07662800000","Not-Precise",23,NA,95,"20",1585,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar",NA,"Park"
"bat1136","Brazil","SANTA CATARINA","BLUMENAU","Morro da Banana","-26.90282400000","-49.07220700000","Not-Precise",60,NA,58,"20.2",1561,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","N",NA
"bat1137","Brazil","PARANA","PARANAGUA","Floresta Estadual do Palmito","-25.58333300000","-48.55000000000","Not-Precise",530,NA,21,"20.5",2050,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y","Park"
"bat1138","Brazil","PARANA","GUARATUBA","Reserva Particular do Patrimonio Natural Bicudinho-do-brejo","-25.75000000000","-48.71666700000","Not-Precise",28,"15",4,"21",1946,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y",NA
"bat1139","Brazil","PARANA","MATINHOS","Parque Estadual Rio da Onca","-25.78500000000","-48.51916700000","Not-Precise",118.51,NA,NA,NA,NA,"Atlantic Forests","Serra do Mar coastal forests",NA,"Serra do Mar","Y","Park"
"bat1140","Brazil","PARANA","GUARAQUECABA","Reserva Natural Salto Morato","-25.16666700000","-48.30000000000","Not-Precise",2253,NA,114,"21.8",2166,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y",NA
"bat1141","Brazil","BAHIA","CAMACAN","Reserva Serra Bonita","-15.39191700000","-39.56613900000","Precise",2000,"6",825,"20",1135,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia","Y",NA
"bat1142","Brazil","SAO PAULO","IPEUNA","Area de Protecao Ambiental Corumbatai","-22.43583000000","-47.71889000000","Not-Precise",NA,NA,636,"20.2",1336,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests","Y",NA
